"data";"1";"7"
2012-03-13;1,8102;68394
2012-03-14;1,8146;68257
2012-03-15;1,8006;67749
2012-03-16;1,8018;67684
2012-03-19;1,809;67730
2012-03-20;1,8259;67295
2012-03-21;1,8267;66860
2012-03-22;1,825;65828
2012-03-23;1,8194;65812
2012-03-26;1,8143;66684
2012-03-27;1,8135;66037
2012-03-28;1,8223;65079
2012-03-29;1,8334;64871
2012-03-30;1,8221;64510
2012-04-02;1,8314;65216
2012-04-03;1,8256;64284
2012-04-04;1,8316;63529
2012-04-05;1,8301;63691
2012-04-09;1,826;62923
2012-04-10;1,8317;61738
2012-04-11;1,8303;61293
2012-04-12;1,827;63058
2012-04-13;1,8364;62105
2012-04-16;1,8373;61954
2012-04-17;1,8454;62698
2012-04-18;1,8694;63010
2012-04-19;1,8867;62618
2012-04-20;1,8786;62494
2012-04-23;1,8864;61539
2012-04-24;1,878;61971
2012-04-25;1,8807;61750
2012-04-26;1,8871;62198
2012-04-27;1,8852;61691
2012-04-30;1,8918;61820
2012-05-02;1,9149;62423
2012-05-03;1,9277;62104
2012-05-04;1,921;60820
2012-05-07;1,9268;61220
2012-05-08;1,9366;60365
2012-05-09;1,9577;59786
2012-05-10;1,9581;59702
2012-05-11;1,9513;59445
2012-05-14;1,9866;57539
2012-05-15;1,9947;56237
2012-05-16;1,9974;55887
2012-05-17;1,9973;54038
2012-05-18;2,0095;54513
2012-05-21;2,0374;56590
2012-05-22;2,0493;55038
2012-05-23;2,0816;54619
2012-05-24;2,0384;54063
2012-05-25;2,0032;54463
2012-05-28;1,9778;55212
2012-05-29;1,9944;54633
2012-05-30;2,0078;53797
2012-05-31;2,0223;54490
2012-06-01;2,035;53402
2012-06-04;2,041;53416
2012-06-05;2,0266;52481
2012-06-06;2,0183;54156
2012-06-08;2,0353;54429
2012-06-11;2,0348;54001
2012-06-12;2,0564;55049
2012-06-13;2,0604;55650
2012-06-14;2,0691;55351
2012-06-15;2,0443;56105
2012-06-18;2,0634;56195
2012-06-19;2,044;57195
2012-06-20;2,0293;57166
2012-06-21;2,0363;55505
2012-06-22;2,0555;55439
2012-06-25;2,0718;53805
2012-06-26;2,0743;53837
2012-06-27;2,0764;53108
2012-06-28;2,0904;52652
2012-06-29;2,0213;54354
2012-07-02;1,9893;54692
2012-07-03;1,9888;55780
2012-07-04;2,0201;56076
2012-07-05;2,0292;56379
2012-07-06;2,0359;55394
2012-07-09;2,0312;NA
2012-07-10;2,0332;53705
2012-07-11;2,031;53569
2012-07-12;2,0471;53420
2012-07-13;2,0338;54331
2012-07-16;2,038;53401
2012-07-17;2,0349;53909
2012-07-18;2,0258;54583
2012-07-19;2,0239;55346
2012-07-20;2,0227;54194
2012-07-23;2,0412;53033
2012-07-24;2,0418;52638
2012-07-25;2,0403;52607
2012-07-26;2,0255;54002
2012-07-27;2,0173;56553
2012-07-30;2,0313;57240
2012-07-31;2,0499;56097
2012-08-01;2,0432;56291
2012-08-02;2,0475;55520
2012-08-03;2,0313;57255
2012-08-06;2,0279;58344
2012-08-07;2,0281;57725
2012-08-08;2,0273;58950
2012-08-09;2,0182;58797
2012-08-10;2,0175;59208
2012-08-13;2,0266;59122
2012-08-14;2,0258;58082
2012-08-15;2,0234;58189
2012-08-16;2,0214;59445
2012-08-17;2,0182;59082
2012-08-20;2,0209;59283
2012-08-21;2,0173;58917
2012-08-22;2,021;59380
2012-08-23;2,0241;58511
2012-08-24;2,0255;58425
2012-08-27;2,0293;58111
2012-08-28;2,0433;58406
2012-08-29;2,0509;57369
2012-08-30;2,0513;57256
2012-08-31;2,0372;57061
2012-09-03;2,0335;57281
2012-09-04;2,0392;56233
2012-09-05;2,0385;56863
2012-09-06;2,0381;58321
2012-09-10;2,0241;58404
2012-09-11;2,0197;59422
2012-09-12;2,0204;59921
2012-09-13;2,0254;61958
2012-09-14;2,0139;62105
2012-09-17;2,0312;61805
2012-09-18;2,0274;61804
2012-09-19;2,0236;61651
2012-09-20;2,0263;61687
2012-09-21;2,024;61320
2012-09-24;2,0273;61909
2012-09-25;2,0251;60501
2012-09-26;2,0341;60478
2012-09-27;2,0311;60239
2012-09-28;2,0306;59175
2012-10-01;2,026;59570
2012-10-02;2,0266;59222
2012-10-03;2,0266;58627
2012-10-04;2,0224;58458
2012-10-05;2,0246;58571
2012-10-08;2,0313;59317
2012-10-09;2,0337;58939
2012-10-10;2,0378;58456
2012-10-11;2,0369;59161
2012-10-15;2,0382;59601
2012-10-16;2,0351;59743
2012-10-17;2,0336;60087
2012-10-18;2,0295;59733
2012-10-19;2,0272;58922
2012-10-22;2,0266;58700
2012-10-23;2,0286;57690
2012-10-24;2,0263;57160
2012-10-25;2,0261;57836
2012-10-26;2,0263;57277
2012-10-29;2,0296;57176
2012-10-30;2,0323;57683
2012-10-31;2,0313;57068
2012-11-01;2,0312;58382
2012-11-05;2,035;58209
2012-11-06;2,0341;59458
2012-11-07;2,033;58517
2012-11-08;2,0357;57524
2012-11-09;2,0512;57357
2012-11-12;2,0476;57064
2012-11-13;2,0614;57486
2012-11-14;2,0629;56279
2012-11-16;2,0712;55402
2012-11-19;2,0745;56450
2012-11-20;2,0835;NA
2012-11-21;2,0924;56242
2012-11-22;2,0912;56436
2012-11-23;2,0985;57574
2012-11-26;2,0787;56737
2012-11-27;2,0752;56248
2012-11-28;2,0912;56539
2012-11-29;2,0991;57852
2012-11-30;2,1074;57474
2012-12-03;2,1121;58202
2012-12-04;2,1077;57563
2012-12-05;2,1046;57679
2012-12-06;2,0836;57656
2012-12-07;2,0804;58487
2012-12-10;2,081;59248
2012-12-11;2,0743;59623
2012-12-12;2,0801;59474
2012-12-13;2,0751;59316
2012-12-14;2,084;59604
2012-12-17;2,0902;59566
2012-12-18;2,0966;60460
2012-12-19;2,0791;60998
2012-12-20;2,0625;61276
2012-12-21;2,0758;61007
2012-12-24;2,0774;NA
2012-12-26;2,0569;60959
2012-12-27;2,0483;60415
2012-12-28;2,0435;60952
2012-12-31;2,0435;NA
2013-01-02;2,0415;62550
2013-01-03;2,0464;63312
2013-01-04;2,0425;62523
2013-01-07;2,0312;61932
